friend_tagg_count,pid,comment_count,like_count,post_type,fid,created_time,message,share_count,label
7,143653685699398_1413802058684548,10,416,share,143653685699398,2017-03-16T16:34:44+0000,"中科商圈的粉絲們～伯朗先生來啦！
3/17～3/19  飲品買一送一
3/17～4/9  消費滿額還可獲得環保提袋
購買Lounge卡再送你飲品雙享券
（贈品數量有限，送完為止）",40,3
0,394413307347229_1180850318703520,1,47,photo,394413307347229,2017-03-15T09:32:20+0000,"#CZ最優惠~墨西哥早鳥優惠活動搶先報！
3/17~23期間購買台北 - 墨西哥城機票，
限時促銷價僅19200TWD起(未稅)，
領略包羅萬象的拉丁風情就趁現在！",4,3
454,143039229176602_827186614095190,600,50,photo,143039229176602,2017-06-16T04:00:00+0000,"【＃參加活動即有機會獲得照片中的獎品】
　
長榮樂e購為你提供快速又便捷的網路購物服務，有最受歡迎的長榮航空限量LOGO 商品、人氣Hello Kitty商品、機上嚴選及飛機模型，直接宅配到你家，讓你不用出國，在家也能買到機上商品。
　
即日起至6/18 23:59止，在以下留言分享樂e購連結並TAG三位您的旅遊好夥伴，並寫出「快上長榮樂e購一起來購物」小潔將隨機抽出八位幸運兒～～
EX:「＠潔弟、＠潔妹、＠潔寶，快上長榮樂e購 一起來購物」
　

#EVAAir #長榮樂e購 #暑假購物季",869,3
0,283161705067_10158554211560068,2,96,cover_photo,283161705067,2017-04-17T01:42:02+0000,"今年春天，想騎就騎
2017 單車購物節 即日起~5/31 

 🎉購買Liv品牌 $9,800以上車款，送Beliv潮T
 🎉 GIANT、Liv品牌商品配件88折
 🎉 CONDUCT改裝升級77折，再送運動排汗T (本活動為購買ANYROAD、INVITE、DEFY、AVAIL線控碟煞車主適用)

詳情請洽捷安特各門市~~~",18,3
534,100860886668027_1309076062513164,547,584,animated_image_share,100860886668027,2017-04-18T04:48:25+0000,"Sheraton Grand Taipei Hotel X Evian
【漫旅•泰藝】 好水抽獎聯名活動
2017年台北喜來登SUKHOTHAI和Evian一同攜手打造-喝好「水」品「泰」味！即日起至4月26日12:00 PM止，Tag一位好友並寫下最想品嘗本次SUKHOTHAI推出的主廚推薦菜色，按照下列步驟就有機會獲得evian x Christian Lacroix 2017特別版紀念瓶天然礦泉水乙組(500ml/6入)，共計抽出5位，另外再抽出3位粉絲贈送主廚精選泰式風味一人份套餐(價值TWD1,680/限內用)，邀您喝好「水」品「泰」味！
★Follow Steps★
Step1.➤按讚 + 公開分享貼文
Step2.➤貼文下方留言最想品嘗SUKHOTHAI推出的主廚推薦菜色
Step3.➤並Tag 1位好友一起參與【喝好「水」品「泰」味抽獎活動】
Ex.我最想要吃「脆炸果香石斑魚」@AMY和我一起來品嘗！",582,3
7,333338480975_10154628197450976,30,197,video_inline,333338480975,2017-06-27T04:30:00+0000,"◤按讚➕分享貼文收服可愛傑尼龜🏄◢
每到夏天我要去海邊～🌊海邊有個可愛傑尼龜🐢想過個不一樣的熱血夏天🔥，就和傑尼龜作伙去海邊吧～不論是要玩水、衝浪🏄，還是比誰游泳游得快，海上男子漢的傑尼龜可是會讓你佩服到五體投地哦！🙇
💫現在只要購買 EOS M10 迷你單眼相機套組，就可直接獲得限量版皮卡丘玩偶～讓你夏天樂翻天💫
　
🌟 攝影挑戰賽活動辦法 >> https://goo.gl/sch9No
🌟 EOS M10 促銷優惠 >> https://goo.gl/GYuFYB
　
💝精美好禮免費送💝
只要按讚➕分享貼文就有機會把傑尼龜玩偶帶回家～（共 2 名額）
　
#CanonTaiwan #SNAPSHOT #EOSM10 #EOSM #LPE12 #Pokémon #皮卡丘 #寶可夢 #原廠相機包 #玩具攝影 #帶著皮卡丘去探險 #傑尼龜 #海邊",52,3
25,177612180793_10154472075895794,416,552,photo,177612180793,2017-04-04T04:00:00+0000,"【ZenPad⭐每日一劇─食神】
 
❤大家想吃美食電影／影集中出現的什麼料理呢？
　4/7前留言，就有機會得到Zenny旅行組(市價$999)",272,3
80,272634789416198_1466475730032092,202,247,video_inline,272634789416198,2017-03-31T13:30:00+0000,"【Revlon 4重奏X 姐妹的草地音樂節🌺🌸】
　
🎁友情暖心抽🎁
小編想問各位粉絲：
請問你和好姐妹間最難忘的事是？
回答問題，就有機會將HD665絕色魅桃帶回家喔！
※請在FB本PO文下方留言　
※ 即日起至4/6中午12:00止
※ 小編將於4/7隨機抽出2位幸運得主，並留言處公布得獎名單
※ 得獎者請於得獎公告後2天內提供贈獎資料
※ Revlon Taiwan保留活動變更與修改之權利",82,3
0,108254199198010_1439690946054322,1,202,photo,108254199198010,2017-05-28T04:10:00+0000,"🎁海洋元素本期好禮一次看🎁
初夏超好康！買大送小再送好禮任選！
呼聲最高的「雲彩海洋旅行4件組」除了最經典的海洋旅行組外，還有隨身噴霧水壺！輕壓就可噴出保濕水霧，立即消暑降溫！
海洋元素優惠中，買一即享免運>> https://goo.gl/cnqrOX",38,3
265,442235892477072_1472125286154789,287,3674,video_direct_response,442235892477072,2017-04-01T03:00:00+0000,"【沙宣 x 全民挺GD活動！】
沙宣代言人G-Dragon引爆潮流話題，再創話題熱度新顛峰！
4/30前至Pchome 購買沙宣全系列商品滿499，就有機會獲得G-Dragon潮品
數量有限，要搶要快 >> https://goo.gl/mPFGnk
<搶GD三重抽>
1. 買沙宣商品滿$499！就抽GD人形立牌(5名)、托特包(10名)、海報(20名)
> https://goo.gl/mPFGnk
2. 購買新品任一組合，即贈GD海報(限量80名)
> https://goo.gl/1CzuzK
> https://goo.gl/Bs4LZF
3. 購買GD四入組，即贈GD托特包(限量70個)
> https://goo.gl/Eihevc",149,3
2236,152341009257_10155265749109258,1976,9334,photo,152341009257,2017-03-24T04:31:05+0000,"【春浪漫➰櫻花霜淇淋新上市🌸留言抽🎁】
迎接春天的夢幻口味🌸🍦
淡雅櫻花香氣全都融化在舌尖上😋
從霜淇淋到脆皮筒都染上粉色~
還有櫻花+抹茶的綜合口味霜淇淋🍵
到底日式滋味🌸春天賞櫻必備✨✨
現在兩支只要49元噢👍

【櫻花霜淇淋「粉」浪漫🌸留言分享抽精美好禮🎁】
1.『按讚』+『公開分享』此篇文章
2.Tag你的粉浪漫好朋友😎
「@_________，一人一支櫻花霜淇淋粉絕配～浪漫得嫑嫑的」
3. 完成即有機會抽精美禮物共3名
4. 留言截止至3/31
5. 小編將於4/7公佈於全家粉絲團

#櫻花 #抹茶 #霜淇淋 #櫻花霜淇淋 
#不用出國就能吃到日本味 
#櫻花抹茶霜淇淋拍照打卡超美der 
#春季限定
#浪漫得嫑嫑的",1766,3
0,121431141207349_1822000811150365,1,25,photo,121431141207349,2017-06-27T10:00:00+0000,"|| 夏季救星 ||　多項飲品特價優惠！
|| 消暑聖品 ||　緊急救援你的危機！
　
　
#可口可樂第二件五折
#雪碧第二件五折
#進口冰品第二件五折
#悅氏系列商品第二件五折",1,3
0,171212682949216_1437344886335983,2,18,share,171212682949216,2017-05-02T10:00:00+0000,"🎉🎉中獎名單公佈🎉🎉
活動：Global Mall 新北中和環球倩碧概念櫃抽獎活動
恭喜Mei Mei chen  林楚融  黃奕霖 
獲得 紐約普普戀色唇釉(限定色)正貨 乙支
請私訊小編您的聯絡資訊！

貼心小提醒：沒有得獎的粉絲們也別傷心，還有更多抽獎好禮等著大家帶回家唷 >> https://goo.gl/1zhcnJ",0,3
835,131580750222123_1447519071961611,526,1085,photo,131580750222123,2017-06-27T08:30:00+0000,"【狂賀JETS強取四冠🏆留言抽安全帽】
慶祝JETS拿到四冠！小編來大放送🎉
一起來慶祝奪冠，就有機會抽價值萬元的安全帽👍

👉TSR JETS 名人榜👈
🏆TSRRC冠軍-黃晧
🏆TSRRC季軍-王聖欽
🏆125C1冠軍-陳韋豪
🏆125C3冠軍-鄧憶鴻
🏆125C2亞軍-傅忠信
-------------------------------------
〖留言抽萬元安全帽〗
👉活動辦法
STEP1. 追蹤SYM IG粉絲團
STEP2. 於此貼文按讚，並公開分享於個人頁面
STEP3. 於貼文下方留言「@___，JETS強取四冠94狂！我JETS威武啦！」

👉活動時間
即日起至106/7/16，於106/7/18公佈得獎名單

👉活動贈品
萬元安全帽1頂，共1位",521,3
2146,263705449348_10155434126634349,994,1777,photo,263705449348,2017-04-14T17:05:50+0000,"別鬧了吧！手機還能拼比薩拼圖？！
超誘人的北海道櫻花黃金蝦季節限定口味，不但要挑戰美味的極限，更讓你的視覺好驚豔！💪 
現在只要到活動網站拼出史上最大比薩，就有機會去日本或享用免費大比薩！有得吃又有得玩，生活也太滿足了吧 ✨✨✨✨✨
👀✨ 活動傳送門 https://goo.gl/dIwl6k 
　
鐵粉最愛的經典鬆厚比薩【手工現做、香酥餅皮、香濃起司】的完美融合，簡直美味無敵💖 快揪好友一起參加活動拼出最大比薩，就有機會獲得日本旅遊劵🗼
4/24 23:59前【留言+分享】 “@____@___必勝客鬆厚餅皮豐富生活放大滿足，一起拼比薩抽日本雙人遊”即有機會獲得大比薩券",929,3
470,159761263417_10155143874833418,376,397,photo,159761263417,2017-04-26T13:34:42+0000,"【吉列x全聯 限時優惠】分享貼文抽刮鬍刀👏
各位獨愛鋒護的粉絲們~小編也幫你們爭取到特價囉!
即日起至5/4，吉列鋒護刮鬍刀只要1、7、9！

獨家首創✨雙重護盾科技✨，刮護合一，有效減低刮鬍時的刺激不適，看完這把刀的魅力，還不衝到全聯買一把🏃🏃🏃

💥粉絲好康加碼💥
即日起~5/4 (四)23:59，分享貼文並Tag好友，就有機會抽中鋒護刮鬍刀(1名)，事不宜遲先分享吧!

#全新首創 #雙重護盾科技 #Proshield #GilletteTW
㊙吉列刮鬍刀背後的技術👉 https://goo.gl/IOTxZK",360,3
64,359854104118589_1167930579977600,260,467,animated_image_share,359854104118589,2017-06-26T04:00:00+0000,"【再忙，也要來一口ion water💙】
面對工作，永遠保持初戀般的新鮮感
就像對ion water的熱愛，再忙也要喝一口
現在就截下上班族青年喝下ion water的瞬間
從工作中，找回快樂與動力吧💪

💼活動時間：2017年6月25日~2017年6月29日
💼活動辦法：
1.「讚」給粉絲團及本篇貼文一個讚
2.「留言」截下上班族青年喝下ion water的瞬間
3.「分享」大力分享本篇貼文
🎁活動獎品：ion water 4入/組 (3名)

　
🤣寶妹好康道相報🤣
現在只要購買ion water ，上網登錄序號，月月抽 GOGORO PLUS 🛵
活動只到六月底，趕快約朋友們一起搜刮ion water吧~
活動詳情💧 https://goo.gl/uEvpAb

#來一口 #ion_water #提高辦事效率
#我怎麼能沒有你 #全天候隨時飲用 #長效補水",261,3
0,923070624482805_1170426879747177,12,5757,photo,923070624482805,2017-04-10T02:00:00+0000,"【以Mastercard使用Apple Pay，觸動滿滿元氣 : 無價】
SOGO、微風、遠百的餐廳、超市
滿150送30天天有優惠，
一天一家餐餐元氣，一週天天精彩加分！
優惠詳情看這裡：https://goo.gl/Dyq2qM",11,3
1,143932432305117_1524830340881979,1,365,photo,143932432305117,2017-05-04T04:00:00+0000,"【小七福利 - 小美人氣冰品 第２件６折】
日頭赤炎炎，開始想多點囤貨來隨時解暑囉！即日起至2017/5/23，至小七購買小美人氣冰品統統隨你搭，第２件６折喔！",7,3
0,180390341995122_1794824707218336,0,26,share,180390341995122,2017-05-18T12:15:00+0000,"消費滿台幣 6000 元，現省 800 💵
沒錯，就是這麼好康！
現在只要前往 完成一個簡單的任務，
就可以獲得超值優惠碼，
還有機會贏取價值高達台幣 3 萬元的優惠券喔！",0,3
0,164709646910260_1331009866946893,486,2311,photo,164709646910260,2017-05-05T10:31:43+0000,"【HTC 20 週年，感謝有你】

秀出你的HTC手機，就有機會參加 5/16 HTC 活動 ！

報名方式：
Step1. 對此篇貼文按讚+公開分享
Step2. 上傳你最得意的 HTC 手機照片，並留言「HTC 20 週年 生日快樂，我想參加5/16 HTC活動！」

活動資訊：
日期：2017.05.16（二）
時間：13:30 集合
地點：中獎者再以電話聯繫

活動期間小編會於 5/11前陸續通知得獎者喔！

小編提醒 : 如有上傳與本主題無關之照片，HTC有權刪除並保留活動解釋權利",448,3
1,210121695693833_1411720912200566,1,59,photo,210121695693833,2017-05-07T09:43:00+0000,"真的很划算吔😍給想吃炸雞喝可樂的冰友們參考,現在來中信ATM交易有肯德基超值酷碰劵,不論是一個人吃還是很多人一起吃，通通都有優惠唷👍

💟單人適用:墨西哥莎莎霸王捲+2塊上校雞塊+1顆原味蛋撻+1杯百事可樂(中)，特價125元(原價170元) 
💟多人適用:五塊雞(桶)+1份勁爆雞米花(大)+1份香酥脆薯(大)+3顆原味蛋撻+3杯百事可樂(中)，特價345元(原價478元)

★肯德基門市資訊▶http://www.kfcclub.com.tw
★任一銀行金融卡都可A好康▶http://bit.ly/13BvhJd

#中信方便家 #中信ATM酷碰  KFC",4,3
88,143932432305117_1564140616950951,773,750,photo,143932432305117,2017-06-15T04:00:00+0000,"☀涼快一夏！
該選擇時尚小清新，還是深濃香韻味，真是難以抉擇呢😋

歐夏蕾人氣雪糕將來個雙饗大ＰＫ，留言回答你最想吃歐夏蕾『薄荷巧克力脆皮雪糕』或『抹茶脆皮雪糕』，即有機會抽中 『報告老師！怪怪怪怪物！』電影特映券及限量T-shirt、與歐夏蕾時尚傘！

🎁活動日期：6/15~6/30 (7/3公布抽獎)

🎁抽獎贈品：
1. 九把刀原創，並由歐夏蕾代言人劉奕兒主演新電影 『報告老師！怪怪怪怪物！』電影特映卷２張(台北7/26(三)特映會／共抽５名)
➡➡精彩預告 https://goo.gl/K0NSI3

2. 電影限量T-shirt+歐夏蕾時尚傘 (２名)",478,3
0,139589396215732_782573161917349,1,11,video_inline,139589396215732,2017-04-10T09:08:30+0000,"【美妝達人謝翔雅😊#21天挑戰零底妝】
擁有甜美外表的女演員謝翔雅，這次接受了露得清的挑戰！
有沒有可能在21天後，讓肌膚素顏也能晶透自然呢？
欲知詳情，Na小編會持續為大家關注！

#21天挑戰零底妝 上集：https://goo.gl/mcelP3
下集就讓我們拭目以待吧！

現在到活動網頁：https://goo.gl/mcelP3
分享上集影片，就有機會抽中露得清細白修護晚霜 50g 一罐喔！",0,3
0,296096437124051_1341648605902157,0,56,album,296096437124051,2017-03-15T05:00:01+0000,"<美國運通「會員禮讚」> Fun Taiwan 台中之旅

美國運通「會員禮讚」為不分國內外、不分卡別皆可使用的美國運通卡優惠！精選住宿、餐飲、旅遊禮遇，即日起至2017/12/31：
● 住宿優惠：
- 入住指定房型享優惠價：台中林酒店、台中福華大飯店、璞樹文旅、承億文旅-台中鳥日子、台中威汀城市酒店
- 住宿享訂價39折起：兆品酒店、星享道、文華道、天成文旅-回行旅
● 特色餐飲優惠：Cafe at Alessi Store、PUTIEN 莆田
● 旅遊優惠：小馬租車享訂價65折起

另，即日起至2017年6月30日，至全國加油站加油享以下優惠： 
• 自助加油：汽油每公升降 NT$1.5 
• 人工加油：汽油每公升降 NT$1
優惠詳情及不適用日期及更多美國運通「會員禮讚」優惠，請見美國運通「會員禮讚」網站 http://amex.co/2h9k5Fc",2,3
1,188151501215824_1551491531548474,1,215,share,188151501215824,2017-05-17T10:00:00+0000,"！！！史上最殺優惠！！！讓臉緊到嫑嫑超年輕！
✔超未來立體緊緻精華▶▶▶買一送一！
✔超未來立體雙效電眼精華+頸霜▶▶▶ 5折！
官網限量不到100組！手刀搶GO！→ http://bit.ly/2pV5xc5

＊不適用首購 9折",6,3
1,338609223165_10155251478603166,4,347,photo,338609223165,2017-04-25T09:57:51+0000,"｜常保清潔 輕鬆革新｜VOLVO 皮革保養組 

VOLVO 皮革保養擦拭包以環保水性溶劑製成，除了可有效清潔髒污或殘留在皮革上的油漬，也能避免後續污垢附著；同時，皮革保養內溶劑亦符合瑞典嚴格的健康與環境安全標準，不含有害化學物質，使用時不會對人體健康造成影響。 
為常保您的愛車座椅亮麗如新，建議至少每年保養車室座椅 2-4 次，以維持她獨有的性感與嬌貴。 

即日起至 2017 / 4 / 30 止，至全台服務中心同時購買 VOLVO 皮革保養組、擦拭包，即享 85 折優惠。 

更多優惠資訊，歡迎造訪：https://goo.gl/pQ2cgp",5,3
0,445727812160253_1445831392149885,4,6266,photo,445727812160253,2017-04-19T03:00:01+0000,"米蘭除了時尚，其實還聚集了許多非常美味的米其林餐廳，藏身在巷弄裡，
趕快用Visa卡，趁著暑假規劃一趟義大利米其林餐廳的美食之旅吧！
吃完美食，帶著Visa卡到la Rinascente文藝復興百貨消費還享九折優惠",1,3
15,248954465174600_1408017049268330,247,3137,video_inline,248954465174600,2017-05-01T02:00:00+0000,"【SIENTA車主愛分享-第三彈】
這次我們訪問到的是在車主圈小有名氣的 APPLE CHEN ✨
APPLE特別分享到平常在市區中駕駛，SIENTA的靈巧車身與滑門設計在遇到狹小街道時真的很方便，而車內彈性大空間，幫在開店的女朋友載貨剛剛好! 尾門開口低也讓上下貨物方便又省力阿💪🏻~~~~
不只平常使用方便，要和全家人出門時也可以開一台車就解決，SIENTA可以說是符合了APPLE的各種生活情境呢🙌🏻

 👉🏻如果你也是SIENTA車主，也想要有機會參與拍攝，歡迎用粉絲團私訊了解詳情
 👉🏻也歡迎至車主愛分享活動網站上傳您與SIENTA的生活照片，就有機會抽SIENTA周邊商品喔 www.toyota.com.tw/event/sienta_photowall",197,3
0,121431141207349_1832066640143782,4,30,photo,121431141207349,2017-06-26T02:06:59+0000,"【來頂好刷卡💳享折扣】
優惠太多，讓你無所適從?!
來來來，我們都幫你整理好啦~
看到哪天自己的信用卡有優惠，
就趕快手刀衝來頂好吧!!!
#頂好 #Wellcome 
#快把圖片存下來",3,3
2370,270750529766166_727314837443064,834,1697,video_inline,270750529766166,2017-04-06T04:30:00+0000,"探迷們久等了！真相終於水落石出！ 
沒想到，ALL NEW GRAND LANCER居然在他手上…. 
留言並分享影片，就有機會抽中獨家【YOH桑X三菱聯名公仔】(共5組) 
Step1.留言「原來車在他手上！你猜對了嗎」同時Tag 3位好友 
Step2.公開分享本則貼文 
2個步驟都完成，就可參加抽獎喔！ 

活動時間：即日起至4/13；抽獎時間：4/17 
獎品將於5月底到貨，小編收到，就會手刀寄出！ 

#Mitsubishi #中華三菱 #真相大白 #ALLNEWGRANDLANCER人人愛",819,3
0,174567875906128_1664090203620547,0,14,photo,174567875906128,2017-05-12T04:00:00+0000,"【#Epson愛分享】
 　　　　
最可愛的Hello Kitty標籤機融化少女的心！
現在買標籤機就送標籤帶還有精美好禮等你拿
促銷活動還剩幾天千萬別錯過阿～～～
　　　　　
活動期間至5/16止～
*標籤機活動*
1.LW220DK買就送2捲Kitty標籤帶
2. LW500特價2,890再送1捲Kitty標籤帶
*標籤帶活動*
1. 標籤帶二件9折(不含Kitty tape)
2. Kitty Tape 買三送一
3. 禮物達人風格組緞帶量販包限時9折",0,3
1769,224451981016415_1153021268159477,1250,3197,album,224451981016415,2017-03-21T11:00:00+0000,"【快！Tag你的朋友們一起為 MERCEDES AMG PETRONAS 車隊加油！】
只要在3/23(四) 23:59 以前分享並Tag你的朋友們，就有機會抽中Bose 耳機乙個，Tag 的朋友越多，中獎機會越大！還有機會與 龔懷主（羅賓）Robin Kung 在 #MercedesBenzPopUpTaipei 一起看現場轉播，品味美食美酒！時間不多，現在就動手！

【如何獲得？】
1. 分享此篇貼文，並在標題上留下指定文字：「＠____(tag你的好友們) 我想參加3/26 Mercedes-Benz 概念館F1直播派對！」 並將貼文設為公開。
2. 我們將隨機挑選5名粉絲(可攜伴1名)，獲得當天賽事轉播的入場資格。
3. 另凡參與FB分享活動的朋友們，我們將隨機挑選1名粉絲可以將價值13,000元的Bose 耳機帶回家

【活動說明】 
1.活動時間：即日起至3/23(四) 23:59為止，由Mercedes-Benz Taiwan台灣賓士官方粉絲團隨機選出一位幸運粉絲可獲得Bose® QuietComfort® 35無線耳機（售價新台幣 13,000元）一副，另外再選出5位活動參與者（可攜伴1名），可獲得3/26（日）當天的入場資格。 
2.得獎名單將於3/24 (五) 12:00於此篇貼文下方公告並各別通知 。
 🌟Mercedes-Benz Taiwan 台灣賓士保留此活動辦法之修改、變更之權利。",1215,3
0,174567875906128_1657719990924235,0,24,photo,174567875906128,2017-05-09T03:00:00+0000,"【#Epson大力推】
 　　　　　　　
母親節即將來臨，平日辛苦的媽媽們
就讓超可愛的電子紙手錶Smart Canvas來療癒一下吧～
全系列錶款現在感恩優惠現折500哦！
快用可愛的卡通人物，讓媽媽們展開笑顏吧！",0,3
16,245293232158826_1455807441107393,195,200,video_inline,245293232158826,2017-04-20T06:10:41+0000,"今天17:00前，只要答對任一問題，就有機會獲得電影票乙張(共5名)

［問題］LG G6
1. 完美螢幕比是?
2. 螢幕是幾吋?
3. 獨有方形相機模式共有幾種？
4. 前後雙廣角各是幾度?
5. 有哪些顏色?",47,3
81,251538521716188_637528573117179,109,4009,share,251538521716188,2017-03-15T10:00:32+0000,"注意事項：
1. 此優惠價為單程未稅，訂位時出現的售價為加上機場稅之含稅價(3月份機場稅參考金額：台北TWD500、釜山TWD630)
2.每個航班優惠價機位開放銷售之日期及機位數有限，售完為止 。
3.僅適用於台灣虎航航班(IT開頭的航班號碼)
4.此優惠亦適用於台灣虎航手機APP (Android系統用戶使用前請先更新)
5.付款失敗時，為保障持卡人權益，請持卡人逕洽發卡銀行確認付款失敗原因。
6.本優惠恕不適用於嬰兒票。所有預定均不可退款、不可轉讓。虎航保留更改、修改、取消本次促銷的權利，恕不另行通知。
7.更改及各附加服務費說明，請參考 http://www.tigerairtw.com/tw/zh/faqs.php 
*手機版網頁以及APP若因流量過大無法訂位，請改於PC版網頁訂位。",104,3
5,180390341995122_1738577322843075,8,628,album,180390341995122,2017-04-14T13:15:00+0000,"因為越南物價超低，
去旅行的時候
只要用一點點錢就可以體驗做土豪的港覺 👑
快點揪團去享受吧～

河內飯店優惠
峴港飯店優惠
",11,3
2,124203007630468_1431942663523156,27,1131,share,124203007630468,2017-03-16T04:00:01+0000,"【JUKE 英倫跨界跑旅加贈5次免費定保】  
 
什麼？怎麼可以這樣又帥又大方的啦（揉眼睛！）  
 
沒錯，英國原裝進口的跨界跑旅NISSAN JUKE，  
全車系89.9萬元起享有50萬零利率優惠，本月限時再加贈5次免費定保唷！",47,3
1,289990318975_10155907809448976,39,1854,animated_image_share,289990318975,2017-03-22T04:00:00+0000,"

有機會抽中 Porsche 車款磁鐵 一組 (共5名)，更有機會獲得 保時捷 樂高模型 一組 (共1名)! 

得獎名單於4/12(三)在粉絲團公佈

【注意事項】
1. 得獎者需為 Porsche Taiwan 總代理 永業粉絲團的粉絲。 
2. 本活動僅限居住在中華民國台灣地區 (含離島) 之民眾參加。 
3. 一人限中獎一次。
4. 本活動相關細節將視參加狀況調整，以主辦單位最新公告為準，不另行個別通知。 
5. 主辦單位有權修改活動條款。",64,3
1,56247409725_10155321061919726,1,49,album,56247409725,2017-05-01T12:15:00+0000,"⚡馬拉松限定優惠⚡
【五段雙人機能扶手沙發(三色)】母親節好禮 點數10倍
可完全打平成床 具彈性、支撐性高
輕鬆領券直接賺4/30序號: 17marathon-7現折88
🌟馬拉松超級攻略🌟
🔥輕鬆領券直接賺
🔥樂天市場手機APP購物↗點數再加碼3倍！
🔥樂天信用卡超級點數最高6倍送！
🔥指定店家加碼點數最高20倍
🔥跨店購物↗點數加碼最高20倍
4/24-5/2來樂天點數輕鬆賺！！",4,3
63,151713051567596_1529955280410026,86,227,photo,151713051567596,2017-05-26T06:00:00+0000,"或走或爬或扭！還在擔心好動的寶寶活動量不夠嗎？
👶好奇寶寶搬搬樂即將與您見面！ 
體驗室內戶外只要隨時穿上「好奇好動褲」不論怎麼跨、怎麼動、怎麼扭，輕鬆一套就能擁有合身舒服不外漏的貼身呵護！快帶寶寶來參加好奇寶寶搬搬樂來活動筋骨吧！💪💨
  
我們快來看看好動寶寶在哪邊活動筋骨呢！ 
👉活動日期：106/6/3(六)&106/6/4(日)  
👉活動時間：13:30~16:30  (第一組參賽寶寶請於13:00報到)
👉現場活動名額：每場50位！ (活動開始前10天開放現場報名!)

✨記得參加後到我們FB分享活動內分享寶寶與我們活動背板的好動😘可愛合照!!(✨活動另行公布!請密切注意✨)就有機會抽到一整箱「好奇白金級好動褲」帶回家喔！😏
",64,3
